Name,Courses,Schools,Subcategories
Χορός,,,"Παραδοσιακοί Χοροί,Μοντέρνος Χορός"
Πολεμικές τέχνες,"Karate Do,Kobudo,Aikido ,Karate Kids","Tenchikan,Suibukan","Karate,Ju-Jitsu,Judo,Kobudo,Aikido,Capoeira"
Μουσική,Κιθάρα,Ωδείο Τούμπας,"Κιθάρα,Βιολί,Μουσική Προπαιδεία"
Αθλητισμός,"Basket 2008-2009,Basket 2007,Basket 2006,Basket 2010-2011,handball,PIVOT 2002-03-04,REBOUND 2005,Basket Vergina ,Volley Βεργίνα","Ορφέας,ΧΑΝΘ,Αστερια Basket,GBA,Βεργίνα","Basket,Volley,Ποδόσφαιρο,Ενόργανη,Κολύμβηση,Τένις,Handball"
