Name,address,City,Perioxi,Latitude,Longitude,ΤΚ,Schools,Courses
11 Δημοτικού Καλαμαριάς,,Θεσσαλονίκη,Βοτση,40.629216, 22.956605,55133,Suibukan,Karate Kids
23 Δημοτικού Καλαμαριας,,Θεσσαλονίκη,Καλαμαριάς,40.629216, 22.956605,55133,Suibukan,
ΧΑΝΘ,,Θεσσαλονίκη,Κέντρο,40.629216, 22.956605,55133,ΧΑΝΘ,"handball,REBOUND 2005,PIVOT 2002-03-04"
ΤΕΦΑΑ ΘΕΡΜΗ,,Θεσσαλονίκη,Θέρμη,40.629216, 22.956605,55133,GBA,"Basket 2007,Basket 2006,Basket 2010-2011,Basket 2008-2009"
Δημοτικό Θεατρο Δάσους,,Θεσσαλονίκη,Τριανδρία,40.629216, 22.956605,55133,Suibukan,"Karate Do,Kobudo"
DOJO,Λαμπράκη 265,Θεσσαλονίκη,Τούμπα,40.629216, 22.956605,55133,Tenchikan,Aikido 
Ωδείο Τούμπας,,,,40.629216, 22.956605,55133,,Κιθάρα
Βεργίνα Γήπεδο,Καρολίδη 25,Θεσσαλονίκη,Καλαμαριάς,40.629216, 22.956605,55133,Βεργίνα,"Basket Vergina ,Volley Βεργίνα"
